Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
17,BossWin,AllPlayerDeath,47.8,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,2831,0.43,0.00,0.00,9,12,11,7,-50.314,29.9,24.8,47.8,24.8,262.0,3,19.6,4.5,34.5,8.9,6.1,15.2,31.0,16.3,41.2,6441.7,9855.1,4014.3,1,0.002,0.548,0.450,0.676,0.885,13.2,0.00,3,1615,144
18,BossLose,BossDeath,70.9,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,265,5000,0.00,0.35,0.77,3,9,19,20,-130.698,8.2,16.9,-1.0,-1.0,126.0,3,17.0,2.2,45.6,14.6,5.0,31.3,30.6,11.8,51.1,2545.1,7690.2,3193.8,24,0.001,0.178,0.821,0.338,0.318,14.6,0.00,3,1197,150
19,BossLose,BossDeath,48.3,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,93,5000,0.00,0.87,0.82,0,7,14,17,-171.297,2.3,5.3,-1.0,-1.0,32.0,3,15.5,2.1,29.0,14.2,5.0,21.1,28.9,18.8,40.3,112.6,1967.0,886.1,29,0.001,0.066,0.933,0.269,0.147,19.9,0.00,0,651,64
20,BossWin,AllPlayerDeath,60.6,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,4574,0.09,0.00,0.00,8,12,10,19,-156.993,6.3,2.3,43.4,60.6,44.0,3,14.8,2.5,27.4,14.4,4.5,26.1,28.6,15.2,45.0,308.1,1339.9,1702.2,19,0.001,0.073,0.927,0.307,0.524,15.9,0.00,3,931,39
21,BossLose,BossDeath,79.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,235,5000,0.00,0.29,0.93,0,14,21,18,-242.144,16.6,13.3,-1.0,-1.0,140.0,3,13.0,1.7,27.7,19.3,4.6,31.5,29.5,17.1,42.0,3269.9,5521.3,3366.4,41,0.001,0.177,0.822,0.390,0.353,20.5,0.00,0,1543,67
22,BossWin,AllPlayerDeath,43.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,600,2252,0.55,0.00,0.00,5,8,7,8,-23.413,32.8,17.6,32.8,43.0,255.0,3,15.9,5.1,37.3,16.9,4.9,27.0,32.0,18.8,42.9,3736.4,5846.7,5109.6,5,0.001,0.593,0.405,0.698,0.345,11.0,0.00,0,1500,145
23,BossWin,AllPlayerDeath,77.4,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,2992,0.40,0.00,0.00,15,17,21,3,-226.126,1.7,16.5,77.4,16.5,145.0,3,16.9,3.5,39.6,9.9,6.1,18.9,33.4,17.9,44.4,3282.7,4833.1,3675.2,3,0.001,0.187,0.812,0.375,0.531,13.4,0.00,3,1452,102
24,BossLose,BossDeath,71.8,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,505,5000,0.00,0.00,0.32,9,16,12,21,-120.406,26.6,29.6,52.3,-1.0,253.0,3,18.7,2.2,32.3,12.0,4.9,20.7,29.1,12.8,38.2,6356.2,8950.4,5844.4,15,0.001,0.352,0.647,0.522,0.514,13.6,0.00,4,1875,188
25,BossLose,BossDeath,63.4,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,340,5000,0.00,0.56,0.31,2,13,17,21,-219.440,7.8,2.8,-1.0,-1.0,58.0,3,15.5,4.8,28.0,16.8,3.7,38.1,31.5,22.6,44.2,291.6,861.5,816.8,53,0.001,0.091,0.908,0.266,0.450,17.8,0.00,1,844,33
26,BossWin,AllPlayerDeath,41.4,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,2408,0.52,0.00,0.00,8,9,9,6,-23.868,1.7,26.1,41.4,26.1,223.0,3,17.5,2.9,27.8,12.1,6.0,22.9,28.3,12.6,41.0,3961.7,4853.3,4359.4,3,0.000,0.538,0.461,0.612,0.650,13.7,0.00,4,1269,273
27,BossLose,BossDeath,60.6,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,185,5000,0.00,0.46,0.92,2,11,18,13,-148.078,10.5,21.1,-1.0,-1.0,170.0,3,11.7,1.8,28.1,19.9,4.8,31.9,29.7,8.4,42.3,5919.0,7440.6,8352.1,12,0.001,0.281,0.718,0.457,0.327,21.8,0.00,0,1383,145
28,BossLose,BossDeath,70.8,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,123,5000,0.00,0.70,0.89,5,13,16,20,-233.976,10.8,3.0,-1.0,-1.0,90.0,3,15.6,4.6,27.3,14.6,4.8,28.3,29.6,17.2,40.2,1970.2,3656.3,2499.4,33,0.000,0.127,0.873,0.316,0.180,17.4,0.00,2,1119,34
29,BossWin,AllPlayerDeath,32.9,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,650,0.87,0.00,0.00,7,9,5,2,-38.746,14.1,12.4,32.9,12.4,126.0,3,19.4,4.7,36.4,8.5,5.1,15.2,32.3,16.4,43.2,3508.7,5045.4,2495.8,1,0.002,0.383,0.615,0.541,0.900,13.5,0.00,3,890,74
30,BossLose,BossDeath,72.3,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,156,5000,0.00,0.67,0.81,6,14,19,23,-259.859,6.1,1.9,-1.0,-1.0,41.0,3,15.7,4.4,24.2,14.2,4.4,26.5,29.5,20.8,38.2,266.6,1424.4,658.0,36,0.001,0.057,0.942,0.277,0.206,16.0,0.00,3,1000,29
31,BossWin,AllPlayerDeath,62.8,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,2767,0.45,0.00,0.00,9,20,16,3,-69.236,6.3,2.3,62.8,20.0,47.0,3,16.2,2.4,26.4,15.1,4.9,25.9,29.9,18.3,40.6,329.5,1382.5,708.7,8,0.000,0.075,0.925,0.283,0.747,16.2,0.00,3,890,32
32,BossWin,AllPlayerDeath,56.3,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,3145,0.37,0.00,0.00,9,12,14,5,-73.897,1.7,21.8,56.3,21.8,175.0,3,17.9,1.6,46.0,10.1,6.2,17.6,33.6,16.6,51.3,5540.6,9262.5,5976.8,3,0.001,0.311,0.688,0.471,0.102,12.3,0.00,3,1326,172
33,BossWin,AllPlayerDeath,74.9,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,600,3415,0.32,0.00,0.00,9,15,19,6,-85.574,1.8,30.1,74.9,30.1,255.0,3,17.0,2.6,27.4,11.2,5.5,19.7,28.5,13.4,36.4,4961.2,5230.1,5858.4,3,0.001,0.340,0.658,0.495,0.194,14.5,0.00,7,1855,270
34,BossWin,AllPlayerDeath,47.3,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,3987,0.20,0.00,0.00,9,11,7,13,-145.767,5.6,7.8,25.3,47.3,62.0,3,13.5,5.0,21.4,14.8,4.9,28.6,27.6,16.2,38.0,710.3,1035.5,1266.6,11,0.002,0.131,0.867,0.326,0.785,14.4,0.00,2,771,40
35,BossWin,AllPlayerDeath,60.8,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,4423,0.12,0.00,0.00,9,17,9,19,-165.854,6.3,1.9,37.8,60.8,45.0,3,15.1,4.9,26.8,14.6,4.8,24.6,29.1,18.3,43.8,383.6,1471.3,1687.4,15,0.001,0.074,0.925,0.290,0.691,15.8,0.00,4,883,30
36,BossWin,AllPlayerDeath,46.3,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,4521,0.10,0.00,0.00,6,10,13,10,-145.568,5.2,7.5,46.3,35.8,53.0,3,16.0,4.9,36.2,15.0,4.8,26.8,30.4,20.8,39.2,432.8,894.0,1426.9,21,0.002,0.114,0.884,0.296,0.808,14.9,0.00,1,686,44
37,BossLose,Timeout,90.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,330,4868,0.03,0.00,0.90,11,20,6,30,-311.210,4.5,7.2,30.2,-1.0,54.0,3,16.0,4.6,37.2,14.4,4.9,27.6,30.0,22.6,40.7,396.5,1413.3,1567.4,18,0.001,0.060,0.939,0.273,0.426,14.5,0.00,2,1227,36
38,BossWin,AllPlayerDeath,21.7,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,575,0.88,0.00,0.00,5,5,2,3,7.694,20.1,15.3,21.7,15.3,168.0,2,22.5,4.7,40.2,9.5,6.4,15.2,34.8,18.4,44.9,4983.7,7667.6,3129.3,2,0.003,0.775,0.222,0.800,0.961,11.5,0.00,1,867,102
39,BossWin,AllPlayerDeath,18.8,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,762,0.85,0.00,0.00,5,5,2,4,-30.131,6.8,2.8,12.7,18.8,46.0,2,14.0,4.5,20.9,15.3,4.7,26.1,27.2,19.7,32.9,371.0,868.5,784.4,7,0.004,0.245,0.751,0.393,0.943,13.0,0.00,2,369,42
40,BossLose,BossDeath,64.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,258,5000,0.00,0.39,0.75,6,15,19,20,-239.759,2.8,1.3,-1.0,-1.0,25.0,3,15.6,3.5,27.1,13.9,4.6,19.8,28.7,14.9,38.0,75.1,1244.0,885.8,40,0.001,0.039,0.960,0.257,0.609,15.0,0.00,4,823,1
41,BossWin,AllPlayerDeath,48.5,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,3305,0.34,0.00,0.00,7,9,7,16,-105.555,12.9,3.0,40.1,48.5,85.8,3,15.6,4.6,24.8,14.9,5.0,26.6,29.8,22.2,38.4,1433.3,2413.4,2235.1,19,0.000,0.177,0.823,0.384,0.426,14.8,0.00,3,931,40
42,BossWin,AllPlayerDeath,22.2,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,1500,0.70,0.00,0.00,5,5,4,4,-3.101,17.9,15.4,22.2,15.4,153.0,2,18.6,4.4,27.1,9.0,6.1,15.2,29.5,26.0,33.4,4411.3,6822.7,3897.6,2,0.004,0.689,0.307,0.761,0.933,12.0,0.00,2,845,83
43,BossLose,BossDeath,65.2,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,367,5000,0.00,0.78,0.00,4,17,18,12,-162.187,7.3,21.6,-1.0,40.2,178.0,3,15.2,3.3,27.8,12.0,4.1,32.2,22.6,5.3,39.2,7003.2,7522.4,7859.1,7,0.001,0.273,0.726,0.447,0.898,13.7,0.00,1,1457,159
44,BossWin,AllPlayerDeath,36.0,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,2588,0.48,0.00,0.00,5,9,10,3,-76.626,10.0,2.3,36.0,20.6,96.0,3,13.6,4.4,21.7,16.6,4.8,29.3,28.7,21.1,39.1,1125.5,1961.5,1813.5,10,0.002,0.267,0.732,0.380,0.735,14.6,0.00,1,684,51
45,BossWin,AllPlayerDeath,80.4,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,600,3775,0.25,0.00,0.00,6,17,4,25,-247.905,5.4,14.4,23.1,80.4,131.0,3,17.8,4.9,28.1,12.4,4.3,34.8,24.4,6.0,40.4,2296.1,2695.0,2417.3,5,0.001,0.163,0.836,0.376,0.612,12.9,0.00,3,1511,81
46,BossLose,BossDeath,48.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,175,5000,0.00,0.58,0.84,2,9,14,16,-161.058,7.4,3.0,-1.0,-1.0,56.0,3,14.6,4.6,23.0,14.7,4.4,24.1,28.4,21.3,36.0,170.6,1093.9,1421.2,32,0.001,0.115,0.884,0.295,0.634,15.8,0.00,1,717,36
47,BossLose,BossDeath,56.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,203,5000,0.00,0.72,0.60,2,9,17,15,-146.954,17.0,12.9,-1.0,-1.0,141.8,3,14.2,4.4,36.4,15.5,4.7,31.5,28.4,18.4,40.5,4928.2,8979.1,5647.0,15,0.000,0.254,0.746,0.433,0.146,16.0,0.00,1,1211,76
48,BossWin,AllPlayerDeath,62.3,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,3947,0.21,0.00,0.00,7,13,16,13,-150.481,4.3,6.1,62.3,48.7,46.0,3,14.8,4.5,26.4,14.7,4.5,26.7,29.3,18.3,40.1,319.8,1609.2,1592.4,19,0.000,0.074,0.926,0.276,0.233,14.6,0.00,2,861,40
49,BossWin,AllPlayerDeath,29.2,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,1711,0.66,0.00,0.00,4,6,6,6,-13.387,1.3,2.9,29.2,24.5,20.0,2,16.7,4.9,27.9,15.9,3.6,25.6,32.5,22.6,45.1,7.5,301.6,249.6,23,0.003,0.068,0.929,0.228,0.607,17.9,0.00,1,333,19
50,BossWin,AllPlayerDeath,75.6,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,600,4306,0.14,0.00,0.00,6,17,10,22,-232.692,7.1,3.1,39.8,75.6,57.0,3,15.6,5.0,27.8,14.6,4.8,29.5,30.6,20.5,40.8,248.8,924.1,1287.4,23,0.001,0.075,0.924,0.297,0.622,14.6,0.00,2,1124,41
51,BossWin,AllPlayerDeath,79.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,600,3688,0.26,0.00,0.00,12,23,22,9,-229.555,8.2,17.1,79.2,35.8,152.0,3,15.0,5.0,47.4,17.1,4.8,33.5,32.4,18.2,51.5,2896.4,6963.5,3986.0,15,0.001,0.192,0.807,0.371,0.830,13.1,0.00,2,1468,125
52,BossLose,BossDeath,48.3,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,243,5000,0.00,0.54,0.65,2,8,13,17,-179.392,2.9,1.2,-1.0,-1.0,24.0,3,15.8,2.8,27.0,15.0,4.4,27.2,29.8,19.7,39.0,36.9,945.8,205.5,32,0.002,0.050,0.949,0.228,0.469,17.2,0.00,2,552,6
53,BossWin,AllPlayerDeath,30.2,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,1790,0.64,0.00,0.00,6,6,6,6,-70.046,5.5,8.0,25.5,30.2,63.0,3,16.3,4.9,37.7,15.6,5.0,27.7,31.5,23.4,46.3,665.3,895.5,1449.3,14,0.001,0.209,0.790,0.365,0.885,14.9,0.00,1,551,46
54,BossWin,AllPlayerDeath,89.4,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,4612,0.08,0.00,0.00,18,26,26,5,-203.558,1.8,24.6,89.4,24.6,202.0,3,16.4,3.5,28.9,9.8,5.3,19.2,27.7,15.7,33.8,7017.5,8111.3,7841.1,3,0.001,0.226,0.773,0.411,0.827,13.7,0.00,7,1836,178
55,BossLose,BossDeath,72.7,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,566,5000,0.00,0.11,0.00,8,17,21,8,-138.394,1.8,34.0,-1.0,34.0,290.0,3,16.4,3.4,28.7,11.8,5.9,24.7,29.9,16.8,39.1,7592.1,8628.1,6943.6,3,0.001,0.399,0.600,0.540,0.754,12.2,0.00,2,1961,285
56,BossWin,AllPlayerDeath,58.1,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,3989,0.20,0.00,0.00,14,16,6,18,-144.459,11.4,2.9,24.6,58.1,91.0,3,13.4,4.9,26.1,15.2,4.5,30.5,29.0,18.4,42.7,1367.1,2798.7,3305.6,10,0.000,0.157,0.843,0.358,0.838,14.6,0.00,6,1042,45
57,BossWin,AllPlayerDeath,53.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,1846,0.63,0.00,0.00,6,13,6,11,-21.344,3.2,43.1,53.7,43.1,348.0,3,21.3,5.0,37.5,11.6,5.2,26.3,32.6,22.6,41.9,10592.9,12369.5,11992.2,4,0.001,0.648,0.350,0.707,0.896,13.4,0.00,1,1897,495
58,BossLose,BossDeath,45.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,289,5000,0.00,0.52,0.52,2,7,14,14,-148.930,4.6,6.8,-1.0,-1.0,52.0,3,13.6,4.6,27.3,15.4,4.8,27.0,28.4,18.6,44.7,367.8,1343.5,1643.5,21,0.002,0.115,0.883,0.324,0.532,15.2,0.00,1,733,42
59,BossWin,AllPlayerDeath,25.1,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,871,0.83,0.00,0.00,6,6,5,1,-55.854,4.6,6.3,25.1,6.3,56.8,2,15.4,5.0,32.8,18.9,7.8,30.8,28.8,19.1,38.2,257.5,861.0,350.5,3,0.004,0.227,0.769,0.328,0.944,14.4,0.00,0,412,59
60,BossLose,BossDeath,63.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,461,5000,0.00,0.00,0.46,7,13,11,20,-172.292,5.4,7.2,41.3,-1.0,62.0,3,15.3,3.8,33.6,16.8,3.9,29.1,31.0,16.4,41.6,758.0,1789.2,1042.5,33,0.001,0.098,0.901,0.309,0.307,16.8,0.00,4,978,27
61,BossWin,AllPlayerDeath,40.5,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,2403,0.52,0.00,0.00,7,8,3,12,-91.202,7.2,2.6,16.5,40.5,53.0,3,15.7,4.3,26.3,14.4,4.9,24.4,29.1,20.7,42.1,452.7,902.5,745.7,11,0.001,0.131,0.868,0.324,0.296,13.3,0.00,2,655,40
62,BossLose,BossDeath,47.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,314,5000,0.00,0.37,0.59,3,7,16,13,-116.318,10.1,2.4,-1.0,-1.0,77.0,3,15.2,4.6,23.3,15.0,4.8,27.4,29.3,19.8,37.9,946.7,2545.8,2167.4,20,0.002,0.163,0.835,0.351,0.214,17.3,0.00,1,829,48
63,BossLose,BossDeath,46.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,243,5000,0.00,0.37,0.82,3,10,15,14,-122.831,13.0,3.2,-1.0,-1.0,103.8,3,14.8,4.9,26.7,15.7,4.7,27.5,29.5,17.4,40.2,1478.8,2202.9,3648.9,21,0.000,0.224,0.776,0.369,0.673,15.3,0.00,1,855,55
64,BossWin,AllPlayerDeath,58.0,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,3247,0.35,0.00,0.00,9,11,15,12,-108.916,2.8,11.6,58.0,46.4,94.0,3,15.9,1.5,32.8,13.5,5.0,23.1,28.9,15.2,40.4,1762.4,3867.6,1684.8,18,0.001,0.162,0.837,0.334,0.446,13.9,0.00,2,969,86
65,BossLose,BossDeath,56.5,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,564,5000,0.00,0.00,0.12,6,13,15,15,-144.627,11.9,17.0,51.8,-1.0,148.0,3,11.9,3.7,27.8,14.8,4.3,34.1,25.5,9.2,42.5,4797.4,4008.5,7371.9,19,0.001,0.262,0.737,0.447,0.829,12.3,0.00,4,1261,67
66,BossWin,AllPlayerDeath,50.3,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,3215,0.36,0.00,0.00,8,13,8,15,-147.592,10.4,1.9,36.8,50.3,90.0,3,15.5,4.4,25.1,15.2,4.7,29.1,30.0,20.5,39.2,1081.8,2135.3,2707.1,19,0.000,0.179,0.821,0.334,0.777,15.5,0.00,3,841,38
67,BossLose,BossDeath,60.9,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,542,5000,0.00,0.00,0.19,3,12,12,20,-163.907,6.5,17.2,49.9,-1.0,147.0,3,17.8,4.8,45.2,14.0,4.8,34.0,29.4,18.2,50.2,3946.9,3321.6,6472.8,26,0.001,0.241,0.757,0.391,0.600,13.8,0.00,2,1189,96
68,BossWin,AllPlayerDeath,64.2,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,2685,0.46,0.00,0.00,8,15,16,3,-111.031,2.5,16.3,64.2,16.3,146.8,3,18.4,3.0,45.8,10.3,5.9,20.4,35.9,12.7,51.9,3803.4,6565.1,4677.2,3,0.002,0.229,0.770,0.400,0.425,17.1,0.00,2,1285,140
69,BossLose,Timeout,90.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,433,4842,0.03,0.56,0.00,5,13,22,11,-153.938,27.5,38.8,-1.0,47.4,372.0,3,18.0,2.4,46.3,14.8,4.7,36.0,33.4,5.8,57.2,11301.7,10170.8,10259.2,5,0.001,0.413,0.586,0.564,0.242,14.4,0.00,4,2539,435
