Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
145,BossLose,BossDeath,41.9,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,350,2500,0.00,0.81,0.03,6,11,4,11,15.393,2.5,-1.0,-1.0,-1.0,306.0,3,21.3,4.0,35.5,11.2,5.4,22.9,29.9,9.8,45.0,7393.4,8316.6,9554.1,3,0.002,0.730,0.268,0.804,0.948,13.2,0.00,4,1685,493
169,BossLose,BossDeath,36.2,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,21,2500,0.00,0.94,0.99,0,5,4,10,12.253,1.4,-1.0,-1.0,-1.0,279.4,3,21.9,4.3,39.5,12.2,5.9,23.1,32.1,17.2,45.0,6803.7,6482.2,7448.8,1,0.000,0.771,0.229,0.866,0.152,13.4,0.00,0,1570,417
176,BossLose,BossDeath,31.8,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,212,2500,0.00,1.00,0.29,3,4,5,9,14.681,2.0,-1.0,-1.0,-1.0,279.0,3,24.4,4.4,45.3,11.2,5.1,21.4,33.5,16.6,51.4,9120.3,8194.4,9871.0,1,0.001,0.876,0.123,0.932,0.158,11.1,0.00,1,1484,238
194,BossLose,BossDeath,45.1,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,22,2500,0.00,0.93,1.00,0,5,5,13,16.952,2.0,-1.0,-1.0,-1.0,377.4,3,22.5,4.9,37.9,12.8,5.7,25.6,34.1,19.9,48.7,10501.5,12061.7,10135.1,2,0.001,0.837,0.162,0.913,0.285,18.7,0.00,0,2059,560
212,BossLose,BossDeath,46.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,104,2500,0.00,0.70,0.95,0,10,9,12,4.104,2.1,-1.0,-1.0,-1.0,268.2,3,19.3,2.8,44.8,11.7,5.7,21.1,28.0,6.8,49.5,4708.3,6221.7,6194.2,1,0.002,0.574,0.424,0.684,0.617,12.2,0.00,0,1596,1055
219,BossLose,BossDeath,33.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,43,2500,0.00,1.00,0.86,1,3,5,10,9.388,11.2,-1.0,-1.0,-1.0,248.8,3,20.6,3.4,31.4,11.3,5.2,24.1,30.4,12.9,41.2,4950.2,6144.0,5727.0,3,0.000,0.748,0.252,0.810,0.237,10.4,0.00,0,1348,435
225,BossLose,BossDeath,32.2,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,193,2500,0.00,1.00,0.36,3,8,6,10,15.979,-1.0,-1.0,-1.0,-1.0,299.8,3,20.4,8.6,27.8,10.2,5.7,15.1,29.9,18.4,37.2,11025.1,12442.5,11024.9,5,0.000,0.932,0.068,0.965,0.935,11.2,0.00,2,1554,189
240,BossLose,BossDeath,40.1,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,51,2500,0.00,0.85,0.99,0,6,5,13,14.981,2.8,-1.0,-1.0,-1.0,327.4,3,21.1,4.9,32.3,10.5,5.1,23.4,30.4,12.3,44.6,7911.9,8683.4,8540.8,2,0.000,0.817,0.182,0.853,0.633,11.2,0.00,0,1708,328
256,BossLose,BossDeath,39.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,301,2500,0.00,0.85,0.15,5,9,7,10,20.957,1.7,-1.0,-1.0,-1.0,354.4,3,23.2,3.7,40.2,9.3,5.6,18.9,31.1,16.2,46.2,6097.1,7682.9,5567.3,2,0.000,0.892,0.108,0.940,0.949,9.5,0.00,1,1867,216
261,BossLose,BossDeath,45.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,363,2500,0.00,0.51,0.28,5,9,8,11,23.846,-1.0,32.0,-1.0,-1.0,393.6,3,20.7,5.4,42.5,12.3,5.0,26.1,32.2,17.9,48.5,13823.6,16962.8,10046.5,2,0.002,0.874,0.124,0.915,0.590,10.6,0.00,5,2060,186
293,BossLose,BossDeath,45.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,302,2500,0.00,0.90,0.09,2,8,3,13,22.385,2.4,-1.0,-1.0,-1.0,406.6,3,23.3,3.9,42.6,9.0,5.4,19.6,31.1,13.4,48.5,8340.6,8781.1,7235.2,2,0.001,0.900,0.100,0.938,0.635,9.2,0.00,0,2119,226
302,BossLose,BossDeath,32.4,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,595,2500,0.00,0.02,0.00,7,8,8,5,18.335,-1.0,20.1,-1.0,20.1,282.8,3,18.5,6.0,31.9,9.3,6.3,15.1,30.9,17.9,37.9,9362.2,10532.1,3863.0,2,0.000,0.873,0.127,0.894,0.990,10.9,0.00,4,1448,134
331,BossLose,BossDeath,39.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,7,2500,0.00,0.98,1.00,0,7,7,11,16.136,1.3,-1.0,-1.0,-1.0,339.4,3,21.6,4.5,36.2,11.4,5.4,25.2,31.7,17.3,43.1,8670.8,10025.7,9407.5,1,0.001,0.869,0.131,0.935,0.545,10.5,0.00,0,1827,407
340,BossLose,BossDeath,42.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,248,2500,0.00,0.90,0.27,3,11,6,12,20.304,2.7,-1.0,-1.0,-1.0,366.4,3,23.0,3.8,40.8,9.7,5.6,23.1,31.3,17.8,46.3,11596.1,12740.8,10154.8,2,0.001,0.858,0.141,0.901,0.961,10.6,0.00,3,1922,253
375,BossLose,BossDeath,38.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,226,2500,0.00,0.89,0.36,3,8,9,9,18.722,37.3,-1.0,-1.0,-1.0,339.0,3,20.6,4.8,27.2,8.9,5.3,15.2,28.8,15.7,33.6,5819.1,8168.1,5920.1,3,0.000,0.891,0.109,0.927,0.973,9.8,0.00,3,1764,173
379,BossLose,BossDeath,39.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,77,2500,0.00,0.74,1.00,0,3,8,11,19.200,1.4,-1.0,-1.0,-1.0,361.6,3,22.5,4.3,39.1,10.6,5.0,19.6,31.4,17.5,44.5,12930.2,14138.5,12437.7,1,0.002,0.920,0.079,0.964,0.191,12.9,0.00,0,1896,225
389,BossLose,BossDeath,38.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,16,2500,0.00,0.97,0.98,0,5,9,9,18.179,1.4,-1.0,-1.0,-1.0,343.0,3,20.0,4.7,27.1,9.3,5.5,19.6,28.3,17.3,33.4,6586.6,9209.7,5734.2,1,0.002,0.901,0.097,0.960,0.281,8.5,0.00,0,1827,172
393,BossLose,BossDeath,48.4,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,301,2500,0.00,0.82,0.18,4,9,5,14,23.857,27.4,-1.0,-1.0,-1.0,436.6,3,21.3,2.3,33.1,12.0,5.5,28.9,31.5,18.0,42.5,15368.6,15426.8,14659.0,3,0.001,0.902,0.097,0.930,0.313,12.2,0.00,1,2250,526
396,BossLose,BossDeath,39.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,95,2500,0.00,0.93,0.75,1,6,3,12,17.458,1.9,-1.0,-1.0,-1.0,335.0,3,24.3,4.3,41.9,9.9,5.3,20.3,32.3,16.9,47.3,7739.3,9242.5,7184.0,1,0.001,0.858,0.141,0.926,0.329,10.9,0.00,0,1807,219
400,BossLose,BossDeath,31.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,130,2500,0.00,0.84,0.73,1,6,6,10,14.126,-1.0,-1.0,-1.0,-1.0,281.6,3,20.4,14.1,27.6,9.1,5.9,15.1,28.9,25.9,33.7,4530.6,7145.2,3920.5,1,0.002,0.908,0.090,0.938,0.892,10.3,0.00,1,1455,128
409,BossLose,BossDeath,40.4,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,313,2500,0.00,0.92,0.04,2,9,5,10,19.922,-1.0,-1.0,-1.0,-1.0,372.8,3,23.0,7.5,37.1,8.7,5.1,15.1,30.5,18.1,43.2,12468.6,13721.3,11199.6,1,0.000,0.923,0.077,0.955,0.965,9.0,0.00,1,1930,189
415,BossLose,BossDeath,39.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,41,2500,0.00,0.91,0.96,0,9,8,10,17.254,-1.0,-1.0,-1.0,-1.0,357.4,3,21.2,14.2,27.3,8.9,5.4,15.2,29.4,26.1,33.5,5850.6,8559.3,5158.9,1,0.000,0.913,0.087,0.957,0.950,8.9,0.00,0,1873,170
422,BossLose,BossDeath,49.4,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,408,2500,0.00,0.52,0.12,2,11,5,14,24.184,-1.0,-1.0,-1.0,-1.0,451.6,3,23.0,11.6,33.8,8.7,5.1,16.2,30.7,22.6,40.1,10378.6,10853.2,9625.6,2,0.001,0.914,0.085,0.959,0.970,9.8,0.00,2,2369,219
426,BossLose,BossDeath,31.5,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,156,2500,0.00,0.49,0.99,0,4,6,8,6.905,1.8,-1.0,-1.0,-1.0,223.0,3,18.0,2.2,27.7,11.2,5.9,19.4,26.1,10.2,33.8,4350.5,4578.9,5143.1,2,0.003,0.707,0.290,0.748,0.246,9.7,0.00,0,1179,572
436,BossLose,BossDeath,39.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,78,2500,0.00,0.91,0.83,1,8,2,13,19.418,16.0,-1.0,-1.0,-1.0,346.4,3,25.4,4.5,37.9,9.8,5.0,27.1,33.2,16.6,43.0,5433.8,7482.3,4915.8,2,0.002,0.873,0.126,0.932,0.974,10.0,0.00,1,1850,230
446,BossLose,BossDeath,39.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,202,2500,0.00,1.00,0.33,2,4,7,12,18.724,1.4,-1.0,-1.0,-1.0,340.0,3,22.0,5.0,37.9,10.0,5.1,20.5,30.4,15.9,43.8,7888.0,8744.1,7578.0,1,0.000,0.866,0.134,0.913,0.220,9.1,0.00,0,1792,202
448,BossLose,BossDeath,39.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,78,2500,0.00,0.95,0.79,0,3,5,12,18.315,1.4,-1.0,-1.0,-1.0,352.4,3,20.6,4.4,27.3,9.5,5.7,19.5,29.0,17.4,34.0,5098.3,7269.7,4597.5,1,0.002,0.899,0.099,0.942,0.207,9.5,0.00,0,1847,190
456,BossLose,BossDeath,36.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,205,2500,0.00,0.90,0.41,1,6,6,9,16.186,2.0,-1.0,-1.0,-1.0,308.6,3,24.2,5.0,44.8,9.7,5.3,20.5,32.1,16.9,50.1,9769.2,11277.3,8335.3,1,0.002,0.857,0.142,0.901,0.641,10.0,0.00,1,1622,188
458,BossLose,BossDeath,40.1,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,108,2500,0.00,0.64,1.00,1,4,8,11,16.257,-1.0,-1.0,-1.0,-1.0,358.6,3,23.2,6.1,38.6,11.6,5.8,28.3,33.0,25.2,45.4,12335.5,12611.1,12818.0,3,0.000,0.895,0.105,0.929,0.238,11.1,0.00,0,1861,364
463,BossLose,BossDeath,39.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,41,2500,0.00,0.88,0.98,0,6,5,12,17.736,3.0,-1.0,-1.0,-1.0,347.0,3,21.0,4.9,27.7,9.5,5.2,23.8,29.6,20.4,34.2,6199.4,7191.9,6254.2,2,0.002,0.888,0.110,0.915,0.589,10.1,0.00,0,1787,241
465,BossLose,BossDeath,46.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,159,2500,0.00,1.00,0.47,2,6,6,13,22.722,-1.0,-1.0,-1.0,-1.0,426.0,3,23.1,15.5,35.8,8.8,5.6,15.2,30.6,16.7,42.2,6609.0,9133.8,5936.0,0,0.000,0.921,0.079,0.978,0.293,9.0,0.00,0,2263,199
476,BossLose,BossDeath,36.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,207,2500,0.00,1.00,0.31,3,5,6,11,18.372,1.7,-1.0,-1.0,-1.0,326.4,3,24.3,4.7,45.6,11.9,5.8,22.9,34.4,14.9,50.4,11375.9,10633.9,10720.6,2,0.002,0.902,0.097,0.965,0.480,12.1,0.00,2,1746,334
477,BossLose,BossDeath,48.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,22,2500,0.00,0.93,0.99,0,8,6,13,15.130,2.3,-1.0,-1.0,-1.0,389.0,3,23.4,3.2,39.3,12.4,5.5,24.7,33.5,17.5,46.6,11564.3,12041.5,11228.2,3,0.001,0.808,0.190,0.873,0.466,11.5,0.00,0,2101,597
478,BossLose,BossDeath,50.0,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,168,2500,0.00,0.85,0.59,3,8,6,15,27.182,4.8,-1.0,-1.0,-1.0,453.4,3,23.4,4.7,48.2,9.8,5.5,29.6,31.7,15.7,52.6,9767.4,10950.2,8815.4,2,0.001,0.907,0.092,0.961,0.192,8.6,0.00,3,2402,225
490,BossLose,BossDeath,41.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,347,2500,0.00,0.79,0.05,5,8,5,12,21.875,1.8,-1.0,-1.0,-1.0,367.0,3,24.4,3.1,45.4,9.5,5.4,19.0,32.3,16.3,51.1,6651.6,7654.4,5520.4,2,0.001,0.892,0.107,0.931,0.698,10.3,0.00,3,1915,221
502,BossLose,BossDeath,31.4,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,160,2500,0.00,1.00,0.47,2,7,5,9,14.984,28.6,-1.0,-1.0,-1.0,265.0,3,19.2,2.3,27.0,10.2,6.4,22.8,28.2,16.4,33.9,5099.2,7314.3,4775.7,3,0.003,0.843,0.154,0.899,0.985,11.2,0.00,1,1413,189
517,BossLose,BossDeath,31.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,144,2500,0.00,0.93,0.60,1,4,5,10,14.122,-1.0,-1.0,-1.0,-1.0,286.0,3,22.0,9.4,31.8,9.0,5.5,15.2,30.0,18.6,37.1,6323.6,8303.3,5469.8,1,0.002,0.914,0.084,0.946,0.424,9.9,0.00,0,1480,162
529,BossLose,BossDeath,33.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,291,2500,0.00,0.76,0.27,4,7,7,9,15.901,1.8,-1.0,-1.0,-1.0,286.8,3,20.4,1.9,26.0,10.2,5.9,18.6,29.2,16.4,33.4,3927.5,6050.7,3836.2,2,0.005,0.865,0.130,0.853,0.939,10.3,0.00,2,1413,193
537,BossLose,BossDeath,45.0,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,221,2500,0.00,1.00,0.26,2,4,7,13,18.831,7.1,-1.0,-1.0,-1.0,386.0,3,20.1,4.8,28.4,14.1,6.3,32.1,32.0,13.6,42.5,10125.6,11119.0,11065.0,2,0.000,0.857,0.142,0.906,0.223,12.7,0.00,2,2039,597
544,BossLose,BossDeath,39.4,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,256,2500,0.00,0.97,0.18,3,9,5,11,20.034,1.8,-1.0,-1.0,-1.0,351.0,3,23.7,2.9,42.7,9.5,5.1,17.9,31.6,16.1,47.9,6106.0,8036.7,5146.9,2,0.000,0.891,0.109,0.935,0.963,9.6,0.00,1,1841,210
556,BossLose,BossDeath,36.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,98,2500,0.00,0.92,0.76,0,4,4,11,15.639,2.4,-1.0,-1.0,-1.0,315.0,3,22.1,4.2,32.0,9.2,5.4,20.1,29.7,19.7,37.1,5255.9,6736.4,4887.2,3,0.001,0.873,0.126,0.912,0.164,8.9,0.00,0,1645,198
561,BossLose,BossDeath,48.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,341,2500,0.00,0.30,0.57,3,9,7,14,19.496,2.5,-1.0,-1.0,-1.0,403.4,3,22.2,4.4,37.6,11.7,5.7,24.4,32.4,20.7,49.0,10901.1,11763.5,10847.9,3,0.002,0.838,0.160,0.889,0.313,12.2,0.00,3,2140,665
564,BossLose,BossDeath,47.5,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,368,2500,0.00,0.49,0.29,4,7,8,13,19.106,1.8,-1.0,-1.0,-1.0,397.4,3,19.7,3.1,27.5,12.5,5.8,25.8,30.8,13.8,42.9,12223.8,13063.5,11230.9,2,0.001,0.837,0.162,0.883,0.283,13.2,0.00,2,2098,700
604,BossLose,BossDeath,36.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,11,2500,0.00,0.96,1.00,0,5,7,9,17.179,33.1,-1.0,-1.0,-1.0,317.4,3,21.0,4.2,31.3,9.4,5.2,26.9,29.8,18.2,37.7,7129.4,9944.9,6721.7,3,0.002,0.877,0.122,0.939,0.264,6.7,0.00,0,1700,203
611,BossLose,BossDeath,31.1,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,140,2500,0.00,0.93,0.61,1,7,5,10,13.768,1.8,-1.0,-1.0,-1.0,270.0,3,24.1,2.9,45.0,10.1,6.6,19.0,32.1,16.3,50.6,4420.7,5883.0,3891.6,2,0.001,0.868,0.132,0.878,0.942,10.2,0.00,1,1366,184
612,BossLose,BossDeath,48.7,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,227,2500,0.00,1.00,0.24,3,6,6,13,22.474,2.6,-1.0,-1.0,-1.0,431.4,3,21.4,3.5,27.7,9.9,5.6,20.4,30.3,13.4,39.2,5730.3,7922.6,5924.8,2,0.000,0.887,0.113,0.924,0.316,10.2,0.00,0,2247,370
615,BossLose,BossDeath,31.5,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,102,2500,0.00,1.00,0.66,1,4,5,10,14.412,2.7,-1.0,-1.0,-1.0,273.6,3,23.5,4.6,39.6,9.7,5.5,21.0,31.8,18.6,44.0,5029.5,7135.6,4237.2,2,0.002,0.868,0.130,0.893,0.104,8.7,0.00,1,1407,193
642,BossLose,BossDeath,36.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,133,2500,0.00,0.90,0.66,1,6,5,11,18.337,4.7,-1.0,-1.0,-1.0,319.4,3,23.3,4.8,46.7,10.5,5.6,30.3,32.2,18.0,51.1,5884.9,6806.6,6709.5,2,0.001,0.886,0.114,0.928,0.566,10.2,0.00,1,1674,198
643,BossLose,BossDeath,31.3,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,272,2500,0.00,1.00,0.09,3,4,6,10,16.022,-1.0,-1.0,-1.0,-1.0,287.6,3,21.7,8.3,33.2,8.7,5.1,15.2,29.6,18.8,39.6,6171.7,8698.7,5779.7,3,0.002,0.918,0.080,0.962,0.405,8.0,0.00,1,1506,134
647,BossWin,AllPlayerDeath,21.3,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,941,0.62,0.00,0.00,5,5,3,3,15.087,21.3,15.3,21.3,15.3,179.0,2,22.3,8.9,34.8,9.0,6.5,15.2,32.0,16.3,41.4,6247.1,8615.5,3493.4,1,0.002,0.843,0.155,0.908,0.976,10.9,0.00,4,965,95
648,BossLose,BossDeath,41.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,329,2500,0.00,0.90,0.00,7,8,8,11,21.531,-1.0,40.1,-1.0,40.1,363.4,3,23.2,7.4,35.1,9.3,5.2,25.0,31.5,24.7,38.4,6584.2,9328.1,5738.8,2,0.002,0.884,0.114,0.934,0.546,9.0,0.00,4,1920,226
655,BossLose,BossDeath,32.1,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,159,2500,0.00,1.00,0.47,2,7,5,10,16.477,1.7,-1.0,-1.0,-1.0,284.4,3,25.2,4.8,45.6,9.8,5.7,22.9,33.3,21.9,50.1,4827.4,5971.5,4693.6,2,0.000,0.885,0.115,0.927,0.968,9.7,0.00,1,1489,151
656,BossLose,BossDeath,54.4,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,277,2500,0.00,1.00,0.08,4,9,6,15,28.110,2.2,-1.0,-1.0,-1.0,487.0,3,22.4,4.6,36.7,9.3,5.4,21.8,30.3,19.9,40.0,7630.1,9297.5,6473.9,3,0.001,0.896,0.103,0.947,0.289,9.1,0.00,4,2575,261
680,BossLose,BossDeath,47.1,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,224,2500,0.00,1.00,0.25,4,6,6,14,22.150,2.9,-1.0,-1.0,-1.0,396.0,3,20.6,4.9,29.2,9.3,5.3,23.6,29.1,20.2,35.5,14635.2,13362.2,14156.0,2,0.001,0.841,0.157,0.891,0.215,8.4,0.00,4,2097,296
687,BossLose,BossDeath,33.2,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,172,2500,0.00,0.98,0.45,2,4,6,9,12.078,17.6,-1.0,-1.0,-1.0,278.6,3,21.9,4.2,35.4,10.8,5.2,24.4,31.3,16.6,41.8,6074.5,7070.8,8267.4,2,0.002,0.839,0.160,0.869,0.179,10.2,0.00,0,1444,362
688,BossLose,BossDeath,34.5,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,172,2500,0.00,0.98,0.45,2,7,4,10,16.453,1.8,-1.0,-1.0,-1.0,305.2,3,24.8,4.0,44.9,9.5,5.1,18.5,32.1,16.5,50.4,7025.9,6854.7,6943.7,2,0.001,0.886,0.113,0.915,0.929,10.5,0.00,1,1577,191
693,BossLose,BossDeath,38.6,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,137,2500,0.00,1.00,0.54,2,4,6,12,18.639,1.7,-1.0,-1.0,-1.0,344.0,3,23.5,2.6,42.7,9.3,5.5,18.2,31.3,16.4,47.8,7912.6,9327.6,7079.5,2,0.002,0.892,0.106,0.938,0.195,7.3,0.00,0,1808,199
